rider_type,rideable_type,day,num_trips
casual,classic_bike,Friday,175987
casual,docked_bike,Friday,41845
casual,electric_bike,Friday,71680
casual,classic_bike,Monday,135253
casual,docked_bike,Monday,36313
casual,electric_bike,Monday,57308
casual,classic_bike,Saturday,299730
casual,docked_bike,Saturday,78041
casual,electric_bike,Saturday,89848
casual,classic_bike,Sunday,256029
casual,docked_bike,Sunday,70154
casual,electric_bike,Sunday,76901
casual,classic_bike,Thursday,136691
casual,docked_bike,Thursday,27526
casual,electric_bike,Thursday,59830
casual,classic_bike,Tuesday,125419
casual,docked_bike,Tuesday,29504
casual,electric_bike,Tuesday,60118
casual,classic_bike,Wednesday,131073
casual,docked_bike,Wednesday,27495
casual,electric_bike,Wednesday,59473
member,classic_bike,Friday,279360
member,electric_bike,Friday,84523
member,classic_bike,Monday,269826
member,electric_bike,Monday,77388
member,classic_bike,Saturday,282932
member,electric_bike,Saturday,71894
member,classic_bike,Sunday,250911
member,electric_bike,Sunday,59468
member,classic_bike,Thursday,287251
member,electric_bike,Thursday,86983
member,classic_bike,Tuesday,298347
member,electric_bike,Tuesday,91373
member,classic_bike,Wednesday,306311
member,electric_bike,Wednesday,91940
